Geography,Geographic Area Name,SNAP
42003010301,"Census Tract 103.01, Allegheny County, Pennsylvania",0
42003010302,"Census Tract 103.02, Allegheny County, Pennsylvania",91
42003020100,"Census Tract 201, Allegheny County, Pennsylvania",92
42003020300,"Census Tract 203, Allegheny County, Pennsylvania",0
42003030500,"Census Tract 305, Allegheny County, Pennsylvania",424
42003040200,"Census Tract 402, Allegheny County, Pennsylvania",111
42003040400,"Census Tract 404, Allegheny County, Pennsylvania",0
42003040500,"Census Tract 405, Allegheny County, Pennsylvania",63
42003040600,"Census Tract 406, Allegheny County, Pennsylvania",37
42003040900,"Census Tract 409, Allegheny County, Pennsylvania",140
42003050100,"Census Tract 501, Allegheny County, Pennsylvania",438
42003050600,"Census Tract 506, Allegheny County, Pennsylvania",195
42003050900,"Census Tract 509, Allegheny County, Pennsylvania",363
42003051000,"Census Tract 510, Allegheny County, Pennsylvania",507
42003051100,"Census Tract 511, Allegheny County, Pennsylvania",130
42003060300,"Census Tract 603, Allegheny County, Pennsylvania",81
42003060500,"Census Tract 605, Allegheny County, Pennsylvania",112
42003070300,"Census Tract 703, Allegheny County, Pennsylvania",36
42003070500,"Census Tract 705, Allegheny County, Pennsylvania",8
42003070600,"Census Tract 706, Allegheny County, Pennsylvania",0
42003070800,"Census Tract 708, Allegheny County, Pennsylvania",30
42003070900,"Census Tract 709, Allegheny County, Pennsylvania",50
42003080200,"Census Tract 802, Allegheny County, Pennsylvania",74
42003080400,"Census Tract 804, Allegheny County, Pennsylvania",82
42003080600,"Census Tract 806, Allegheny County, Pennsylvania",19
42003080700,"Census Tract 807, Allegheny County, Pennsylvania",156
42003080900,"Census Tract 809, Allegheny County, Pennsylvania",90
42003090100,"Census Tract 901, Allegheny County, Pennsylvania",86
42003090200,"Census Tract 902, Allegheny County, Pennsylvania",89
42003090300,"Census Tract 903, Allegheny County, Pennsylvania",108
42003100500,"Census Tract 1005, Allegheny County, Pennsylvania",159
42003101100,"Census Tract 1011, Allegheny County, Pennsylvania",151
42003101400,"Census Tract 1014, Allegheny County, Pennsylvania",232
42003101800,"Census Tract 1018, Allegheny County, Pennsylvania",114
42003101900,"Census Tract 1019, Allegheny County, Pennsylvania",274
42003110200,"Census Tract 1102, Allegheny County, Pennsylvania",158
42003110600,"Census Tract 1106, Allegheny County, Pennsylvania",46
42003111300,"Census Tract 1113, Allegheny County, Pennsylvania",227
42003111400,"Census Tract 1114, Allegheny County, Pennsylvania",178
42003111500,"Census Tract 1115, Allegheny County, Pennsylvania",577
42003120300,"Census Tract 1203, Allegheny County, Pennsylvania",224
42003120900,"Census Tract 1209, Allegheny County, Pennsylvania",247
42003130200,"Census Tract 1302, Allegheny County, Pennsylvania",151
42003130600,"Census Tract 1306, Allegheny County, Pennsylvania",788
42003130700,"Census Tract 1307, Allegheny County, Pennsylvania",591
42003130800,"Census Tract 1308, Allegheny County, Pennsylvania",568
