X,Y,Store_Name,Address,Address_Line__2,City,State,Zip5,County,Longitude,Latitude,ObjectId
-79.812576,40.502525,K & G Supermart,1043 Hamil Rd,,Verona,PA,15147,ALLEGHENY,-79.812576,40.502525,350
-79.789886,40.499241,Family Dollar 8406,1122 Milltown Rd,,Verona,PA,15147,ALLEGHENY,-79.789886,40.499241,351
-79.789368,40.498741,Dollar General 22867,1108 Milltown Rd,,Verona,PA,15147,ALLEGHENY,-79.789368,40.498741,352
-79.818901,40.484097,7-Eleven Store 36205,6106 Saltsburg Rd,,Verona,PA,15147,ALLEGHENY,-79.818901,40.484097,353
-79.814064,40.521042,7-Eleven 40288,2000 Eastern Ave,,Verona,PA,15147,ALLEGHENY,-79.814064,40.521042,354
-79.789978,40.498421,COMMUNITY SUPER MKT INC,1117 Milltown Rd,,Verona,PA,15147,ALLEGHENY,-79.789978,40.498421,355
-79.856926,40.485207,Verona Shell,4901 Allegheny River Blvd,,Verona,PA,15147,ALLEGHENY,-79.856926,40.485207,356
-79.843262,40.50045,Dollar Tree 4019,100 Allegheny River Blvd,,Verona,PA,15147,ALLEGHENY,-79.843262,40.50045,357
-79.816048,40.526405,Sheetz 459,2175 Hulton Rd,,Verona,PA,15147,ALLEGHENY,-79.816048,40.526405,358
-79.843269,40.500896,VERONA GIANT EAGLE,200 Allegheny River Blvd,,Verona,PA,15147,ALLEGHENY,-79.843269,40.500896,359
-79.842865,40.506878,Get Go 3476,800 Allegheny River Blvd,,Verona,PA,15147,ALLEGHENY,-79.842865,40.506878,360
-80.034691,40.406754,Rite Aid 10931,2501 Banksville Rd,,Pittsburgh,PA,15216,ALLEGHENY,-80.034691,40.406754,361
-80.038971,40.391376,A-PLUS MINI MART,3100 W Liberty Ave,,Pittsburgh,PA,15216,ALLEGHENY,-80.038971,40.391376,362
-80.024895,40.411846,DOLLAR EAGLE DISCOUNTS,1552 Beechview Ave,,Pittsburgh,PA,15216,ALLEGHENY,-80.024895,40.411846,363
-80.040634,40.404137,La Madina Mediterranean Halal Market,2880 Banksville Rd,,Pittsburgh,PA,15216,ALLEGHENY,-80.040634,40.404137,364
-80.041542,40.403049,Ukani Brothers,2900 Banksville Rd,,Pittsburgh,PA,15216,ALLEGHENY,-80.041542,40.403049,365
-80.043343,40.39978,Rana's Indian Bazaar,3103 Banksville Rd,,Pittsburgh,PA,15216,ALLEGHENY,-80.043343,40.39978,366
-80.035423,40.393684,Steel Vape And Mart Inc,2961 W Liberty Ave,,Pittsburgh,PA,15216,ALLEGHENY,-80.035423,40.393684,367
-80.030479,40.404045,Tim's Corner Market,2130 Broadway Ave,,Pittsburgh,PA,15216,ALLEGHENY,-80.030479,40.404045,368
-80.039886,40.404572,DOLLARTREE 8562,2858 Banksville Rd,,Pittsburgh,PA,15216,ALLEGHENY,-80.039886,40.404572,369
-80.035316,40.394512,Sunshine Market ,2932 W Liberty Ave,,Pittsburgh,PA,15216,ALLEGHENY,-80.035316,40.394512,370
-80.034981,40.395931,Jmart International Market,1435 Potomac Ave,,Pittsburgh,PA,15216,ALLEGHENY,-80.034981,40.395931,371
-80.02478,40.410118,Las Palmas Iga 2,1616 Broadway Ave,,Pittsburgh,PA,15216,ALLEGHENY,-80.02478,40.410118,372
-80.038597,40.391556,CVS Pharmacy 4144,3075 W Liberty Ave,,Pittsburgh,PA,15216,ALLEGHENY,-80.038597,40.391556,373
-80.046486,40.395996,Dollar General 10277,1695 McFarland Rd,,Pittsburgh,PA,15216,ALLEGHENY,-80.046486,40.395996,374
-80.044708,40.399281,Rite Aid 1094,3210 Banksville Rd,,Pittsburgh,PA,15216,ALLEGHENY,-80.044708,40.399281,375
-79.763626,40.479942,Dollar General 21279,960 Unity Center Rd,,Plum,PA,15239,ALLEGHENY,-79.763626,40.479942,3996
-80.061394,40.492054,Sunoco Bellevue N/A,4528 Ohio River Blvd,,Pittsburgh,PA,15202,ALLEGHENY,-80.061394,40.492054,4550
-80.054855,40.495003,Produce Plus,471 Lincoln Ave,,Bellevue,PA,15202,ALLEGHENY,-80.054855,40.495003,4552
-80.06646,40.495754,Par Mar Store 204,901 Ohio River Blvd,,Pittsburgh,PA,15202,ALLEGHENY,-80.06646,40.495754,4563
-80.017525,40.460091,Quick Stop Of Pittsburgh Inc,1815 N Charles St,,Pittsburgh,PA,15212,ALLEGHENY,-80.017525,40.460091,5432
-80.042328,40.485088,California Mini Mart LLC,3901 California Ave,,Pittsburgh,PA,15212,ALLEGHENY,-80.042328,40.485088,5433
-79.999336,40.453526,Isaly's,537 E Ohio St,,Pittsburgh,PA,15212,ALLEGHENY,-79.999336,40.453526,5434
-80.000679,40.451134,7-eleven Store #40243a 40243A,310 Cedar Ave,,Pittsburgh,PA,15212,ALLEGHENY,-80.000679,40.451134,5435
-80.026886,40.46767,Global Food Market ,1200 Hodgkiss St,,Pittsburgh,PA,15212,ALLEGHENY,-80.026886,40.46767,5436
-79.98336,40.462639,Nilkanth Convenience Corp,1601 Lowrie St,,Pittsburgh,PA,15212,ALLEGHENY,-79.98336,40.462639,5437
-79.985909,40.469845,Dollar General 21679,1930 Spring Garden Ave,,Pittsburgh,PA,15212,ALLEGHENY,-79.985909,40.469845,5438
-80.031197,40.475876,Family Dollar 11692,3210 Brighton Rd,,Pittsburgh,PA,15212,ALLEGHENY,-80.031197,40.475876,5439
-80.007156,40.457172,Saad United Inc,1318 Federal Street,,Pittsburgh,PA,15212,ALLEGHENY,-80.007156,40.457172,5440
-80.001038,40.45145,Giant Eagle 91,318 Cedar Ave,,Pittsburgh,PA,15212,ALLEGHENY,-80.001038,40.45145,5441
-79.928581,40.419895,Nataliya's European Food Market,4370 Murray Ave,,Pittsburgh,PA,15217,ALLEGHENY,-79.928581,40.419895,5862
-80.033112,40.395462,Bp Dormont,2873 W Liberty Ave,,Pittsburgh,PA,15216,ALLEGHENY,-80.033112,40.395462,8834
-80.015732,40.457397,Dollar Tree 5828,1516 Brighton Rd,,Pittsburgh,PA,15212,ALLEGHENY,-80.015732,40.457397,8913
-79.98687,40.462692,Waltmire Pharmacy,1435 Spring Garden Ave,,Pittsburgh,PA,15212,ALLEGHENY,-79.98687,40.462692,8914
-80.031479,40.476002,Hanini Market,3245 Brighton Rd,,Pittsburgh,PA,15212,ALLEGHENY,-80.031479,40.476002,8915
-79.985809,40.464699,Marshall's Ltd.,1520 Spring Garden Ave,,Pittsburgh,PA,15212,ALLEGHENY,-79.985809,40.464699,8916
-79.98597,40.469975,Family Dollar Store 7104,2020 Spring Garden Ave,,Pittsburgh,PA,15212,ALLEGHENY,-79.98597,40.469975,8917
-80.030113,40.469124,New Big Toms Corner Store,1300 Woodland Ave,,Pittsburgh,PA,15212,ALLEGHENY,-80.030113,40.469124,8918
-80.031624,40.476128,Schwartz Supermarket Store,3235 Brighton Rd,,Pittsburgh,PA,15212,ALLEGHENY,-80.031624,40.476128,8919
-80.03569,40.483963,Rite Aid 10929,3730 Brighton Rd,,Pittsburgh,PA,15212,ALLEGHENY,-80.03569,40.483963,8920
-80.026123,40.468269,KUHN'S MARKET,1130 Highwood St,,Pittsburgh,PA,15212,ALLEGHENY,-80.026123,40.468269,8921
-79.982536,40.463951,VICTORIA'S DAIRY,1716 Lowrie St,,Pittsburgh,PA,15212,ALLEGHENY,-79.982536,40.463951,8922
-80.041527,40.48127,Tom Friday's Market,3639 California Ave,,Pittsburgh,PA,15212,ALLEGHENY,-80.041527,40.48127,8923
-80.027168,40.471836,Circle K 4704200,2903 Brighton Rd,,Pittsburgh,PA,15212,ALLEGHENY,-80.027168,40.471836,8924
-79.998924,40.453762,Rite Aid 10928,623 E Ohio St,,Pittsburgh,PA,15212,ALLEGHENY,-79.998924,40.453762,8925
-80.043709,40.489925,Giant Eagle 65,4110 Brighton Rd,,Pittsburgh,PA,15212,ALLEGHENY,-80.043709,40.489925,8926
-79.868225,40.403332,Brooklyn 3 Market Inc,603 Braddock Ave,,Braddock,PA,15104,ALLEGHENY,-79.868225,40.403332,12975
-79.863136,40.399052,Grow Pittsburgh Farm Stands,1000 Braddock Ave,,Braddock,PA,15104,ALLEGHENY,-79.863136,40.399052,12976
-79.859497,40.40078,Miss Dees Market,1116 Bell Ave,,Braddock,PA,15104,ALLEGHENY,-79.859497,40.40078,12977
-79.842468,40.402981,Pizons Llc,1536 Brinton Ave,,Braddock,PA,15104,ALLEGHENY,-79.842468,40.402981,12978
-79.869644,40.403988,Super Mart Braddock,524 Braddock Ave,,Braddock,PA,15104,ALLEGHENY,-79.869644,40.403988,12979
-79.881691,40.414223,Carl's Cafe,337 5th Ave,,Braddock,PA,15104,ALLEGHENY,-79.881691,40.414223,12980
-79.868629,40.403336,Family Dollar Store 6347,401 6th St,,Braddock,PA,15104,ALLEGHENY,-79.868629,40.403336,12981
-79.876472,40.41177,"Super Stop Convenience Store, Inc.",430 Kenmawr Ave,,Rankin,PA,15104,ALLEGHENY,-79.876472,40.41177,12982
